name
Abiotrophia defectiva
Ustilago maydis
Vanderwaltozyma polyspora
Varibaculum cambriense
Variovorax paradoxus
Veillonella parvula
Verminephrobacter eiseniae
Verrucomicrobium spinosum
Vibrio anguillarum
Victivallis vadensis
Viridibacillus arenosi
Vitis vinifera
Vitreoscilla stercoraria
Volvox carteri
Vulcanisaeta distributa
Waddlia chondrophila
Weeksella virosa
Weissella ceti
Wenxinia marina
Wigglesworthia glossinidia
Winogradskyella psychrotolerans
Wohlfahrtiimonas chitiniclastica
Wohlfahrtiimonas chitiniclastica
Wolinella succinogenes
Woodsholea maritima
Xanthobacter autotrophicus
Xanthomonas axonopodis
Xanthomonas oryzae
Xenophilus azovorans
Xenopus tropicalis
Xenorhabdus nematophila
Xylanimonas cellulosilytica
Xylella fastidiosa
Xylella fastidiosa
Yaniella halotolerans
Yarrowia lipolytica
Yersinia pestis
Yokenella regensburgei
Zavarzinella formosa
Zea mays
Zhouia amylolytica
Zobellia uliginosa
Zoogloea ramigera
Zooshikella ganghwensis
Zunongwangia profunda
Zygosaccharomyces rouxii
Zymobacter palmae
Zymomonas mobilis
